index,Hip,ra_hours,dec_degrees,flamsteed,bayer,const,name,magnitude,epoch_year
2005,78990,16.1234167,-20.8686541,10,ω²,Sco,,4.31,2000.25
2006,79005,16.12678906,-12.74534315,11,,Sco,,5.75,2000.25
2007,79007,16.12709748,9.89176025,45,,Ser,,5.63,2000.25
2008,79043,16.13459624,17.04699349,7,κ,Her,,5.0,2000.25
2009,79045,16.13471381,17.05445306,7,κ,Her,,6.25,2000.25
2010,79072,16.14113418,8.53432477,47,,Ser,,5.69,2000.25
2011,79101,16.14616647,44.93481883,11,φ,Her,,4.23,2000.25
2012,79102,16.14628951,17.20571235,8,,Her,,6.13,2000.25
2013,79119,16.14953571,36.49010935,16,τ,CrB,,4.73,2000.25
2014,79153,16.15515649,-57.93417299,,ι²,Nor,,5.57,2000.25
2015,79280,16.18042458,75.87753079,19,,UMi,,5.48,2000.25
2016,79349,16.19390255,23.49482992,10,,Her,,5.74,2000.25
2017,79374,16.19992791,-19.46064684,14,ν,Sco,,4.0,2000.25
2018,79375,16.20000043,-10.06418514,15,ψ,Sco,,4.93,2000.25
2019,79387,16.20202481,-8.54757943,16,,Sco,,5.43,2000.25
2020,79399,16.20445968,-28.4172057,12,,Sco,,5.67,2000.25
2021,79404,16.20505881,-27.92631564,13,,Sco,,4.58,2000.25
2022,79420,16.20894354,75.21059442,20,,UMi,,6.36,2000.25
2023,79488,16.22094671,5.0210989,9,,Her,,5.46,2000.25
2024,79497,16.22299994,-55.54084556,,ζ,Nor,,5.78,2000.25
2025,79509,16.22464842,-54.63041289,,κ,Nor,,4.95,2000.25
2026,79540,16.23080791,-11.83772219,17,χ,Sco,,5.24,2000.25
2027,79593,16.23910173,-3.69397562,1,δ,Oph,,2.73,2000.25
2028,79607,16.24473355,33.85882404,17,σ,CrB,,5.23,2000.25
2029,79653,16.25426315,-47.37190984,,θ,Nor,,5.13,2000.25
2030,79664,16.25729615,-63.68564897,,δ,TrA,,3.86,2000.25
2031,79666,16.25796591,18.80829264,16,,Her,,5.72,2000.25
2032,79672,16.26031482,-8.36823651,18,,Sco,,5.49,2000.25
2033,79757,16.27910321,29.1503022,18,υ,CrB,,5.8,2000.25
2034,79790,16.28359319,-50.06811224,,γ¹,Nor,,4.97,2000.25
2035,79822,16.29180584,75.75470385,21,ς,UMi,,4.95,2000.25
2036,79882,16.30534466,-4.69260809,2,ε,Oph,,3.23,2000.25
2037,79963,16.32156678,-42.67394008,,λ,Nor,,5.44,2000.25
2038,79992,16.3290133,46.31327084,22,τ,Her,,3.91,2000.25
2039,80000,16.33071322,-50.15537923,,γ²,Nor,,4.01,2000.25
2040,80047,16.33912085,-78.69565609,,δ¹,Aps,,4.68,2000.25
2041,80057,16.34079548,-78.66742066,,δ²,Aps,,5.27,2000.25
2042,80079,16.34393983,-24.16928427,19,ο,Sco,,4.55,2000.25
2043,80112,16.35314514,-25.59275259,20,σ,Sco,,2.9,2000.25
2044,80170,16.36534546,19.15302185,20,γ,Her,,3.74,2000.25
2045,80179,16.3679,1.02892219,50,σ,Ser,,4.82,2000.25
2046,80181,16.36830281,30.89173424,19,ξ,CrB,,4.86,2000.25
2047,80197,16.37261707,33.79914473,20,ν¹,CrB,,5.2,2000.25
2048,80214,16.37478397,33.70335685,21,ν²,CrB,,5.4,2000.25
2049,80331,16.39986301,61.51407536,14,ς,Dra,,2.73,2000.25
2050,80343,16.40172146,-20.03721137,4,ψ,Oph,,4.48,2000.25
2051,80351,16.40300756,6.94817146,21,,Her,,5.83,2000.25
2052,80460,16.42337938,37.39407872,25,,Her,,5.53,2000.25
2053,80463,16.42359154,14.03341514,24,ω,Her,,4.57,2000.25
2054,80473,16.42642254,-23.44711764,5,ρ,Oph,,4.57,2000.25
